0 0 0.000000
0 1 0.000000
0 2 0.000000
0 3 0.000000
0 4 0.000000
0 5 0.000000
0 6 0.000000
0 7 0.000000
0 8 0.000000
0 9 0.000000
0 10 0.000000
0 11 0.000000
0 12 0.000000
0 13 0.000000
0 14 0.000000
0 15 0.000000
0 16 0.000000
0 17 0.000000
0 18 0.000000
0 19 0.000000
0 20 0.000000
0 21 0.000000
0 22 0.000000
0 23 0.000000
0 24 0.000000
0 25 0.000000
0 26 0.000000
0 27 0.000000
0 28 0.000000
0 29 0.000000
0 30 0.000000
0 31 0.000000
0 32 0.000000
0 33 0.000000
0 34 0.000000
0 35 0.000000
0 36 0.000000
0 37 0.000000
0 38 0.000000
0 39 0.000000
1 0 0.000000
1 1 0.000000
1 2 0.000000
1 3 0.000001
1 4 0.000001
1 5 0.000001
1 6 0.000001
1 7 0.000001
1 8 0.000001
1 9 0.000002
1 10 0.000002
1 11 0.000002
1 12 0.000002
1 13 0.000002
1 14 0.000003
1 15 0.000003
1 16 0.000003
1 17 0.000003
1 18 0.000003
1 19 0.000003
1 20 0.000003
1 21 0.000003
1 22 0.000003
1 23 0.000003
1 24 0.000003
1 25 0.000003
1 26 0.000003
1 27 0.000002
1 28 0.000002
1 29 0.000002
1 30 0.000002
1 31 0.000002
1 32 0.000001
1 33 0.000001
1 34 0.000001
1 35 0.000001
1 36 0.000001
1 37 0.000000
1 38 0.000000
1 39 0.000000
2 0 0.000000
2 1 0.000000
2 2 0.000001
2 3 0.000001
2 4 0.000001
2 5 0.000002
2 6 0.000002
2 7 0.000003
2 8 0.000003
2 9 0.000003
2 10 0.000004
2 11 0.000004
2 12 0.000004
2 13 0.000005
2 14 0.000005
2 15 0.000005
2 16 0.000006
2 17 0.000006
2 18 0.000006
2 19 0.000006
2 20 0.000006
2 21 0.000006
2 22 0.000006
2 23 0.000006
2 24 0.000006
2 25 0.000005
2 26 0.000005
2 27 0.000005
2 28 0.000004
2 29 0.000004
2 30 0.000004
2 31 0.000003
2 32 0.000003
